"Code","Year","Population","Count_All","Deaths_All","Count_Leukaemia","Deaths_Leukaemia","Count_Breast","Deaths_Breast","Count_Cervix","Deaths_Cervix","Count_Melanoma","Deaths_Melanoma","Count_Bladder","Deaths_Bladder","Count_Colorectal","Deaths_Colorectal","Count_Pancreas","Deaths_Pancreas","Count_Stomach","Deaths_Stomach","Count_Lung","Deaths_Lung","Count_Liver","Deaths_Liver","Count_Oesophagus","Deaths_Oesophagus"
"E38000006",2002,112309,549,305,14,4,145,37,12,8,13,2,19,10,62,36,15,12,15,12,72,63,3,3,9,9
"E38000006",2003,112955,566,296,9,6,167,37,10,7,5,1,13,6,70,31,11,14,18,17,72,57,1,4,11,14
"E38000006",2004,113466,596,322,6,4,190,63,10,4,7,2,19,8,65,34,20,17,22,11,72,54,4,10,10,10
"E38000006",2005,114049,621,345,13,9,195,64,15,4,13,1,19,12,63,26,15,15,11,10,83,67,4,2,8,8
"E38000006",2006,114863,640,277,11,3,174,39,26,4,19,3,16,9,60,29,12,7,16,4,81,67,5,5,11,9
"E38000006",2007,115556,646,326,17,7,174,45,26,6,21,4,9,8,60,28,12,9,10,9,109,80,5,5,12,6
"E38000006",2008,116298,682,332,19,9,171,40,13,7,30,3,7,2,80,29,21,19,15,13,104,76,4,5,8,13
"E38000006",2009,116689,611,310,12,9,167,37,19,10,13,2,4,3,54,24,20,19,9,8,97,83,7,4,8,6
"E38000006",2010,117149,639,311,12,7,170,35,19,2,21,4,16,4,57,18,20,14,9,6,88,82,9,10,5,5
"E38000006",2011,117898,652,291,16,6,172,44,12,5,26,1,15,8,63,22,16,15,9,6,104,77,4,1,12,6
"E38000006",2012,118749,693,300,11,7,210,41,16,9,28,3,13,10,86,21,10,9,7,3,113,78,2,5,10,6
"E38000006",2013,119713,699,316,20,10,198,33,15,5,31,4,8,4,54,24,22,15,13,8,99,82,4,1,19,10
"E38000006",2014,120771,728,324,21,10,216,46,29,3,29,1,11,2,53,22,14,19,10,10,115,77,3,4,12,18
"E38000006",2015,121583,709,335,20,7,206,51,12,8,33,0,11,7,72,29,22,20,11,5,95,81,9,8,12,19
"E38000006",2016,122553,743,337,17,10,226,38,11,6,25,4,12,7,71,21,24,21,12,5,126,86,6,9,11,8
"E38000006",2017,123267,664,302,10,9,190,37,14,1,26,2,15,6,56,22,16,12,11,7,117,82,1,4,8,9
"E38000006",2018,124182,759,327,20,9,222,44,19,3,26,5,9,10,79,26,20,15,12,10,121,79,8,7,10,6
"E38000006",2019,125065,717,329,26,9,200,37,14,3,31,4,13,8,71,34,14,13,14,11,111,75,6,12,9,9
"E38000007",2002,121536,575,344,13,9,170,58,12,2,14,1,18,7,64,36,15,18,11,7,77,72,2,4,9,6
"E38000007",2003,121982,565,304,14,5,204,62,7,4,18,2,11,8,51,30,22,18,7,6,46,48,1,4,8,11
"E38000007",2004,122760,558,284,13,6,166,51,6,6,14,2,9,9,61,25,19,21,10,6,60,40,1,2,12,12
"E38000007",2005,123655,574,292,20,12,163,42,3,2,19,6,10,6,71,19,15,16,17,8,49,45,6,3,7,5
"E38000007",2006,124389,622,328,10,4,209,56,13,3,25,4,13,6,79,40,14,16,8,7,68,57,3,3,3,12
"E38000007",2007,125004,554,299,17,8,145,51,8,7,13,2,8,3,75,41,16,14,8,5,67,59,6,5,8,3
"E38000007",2008,126184,567,324,16,6,177,60,5,3,29,5,11,7,66,41,24,23,5,5,73,69,2,4,13,7
"E38000007",2009,126740,681,307,16,10,214,56,12,1,33,2,11,10,87,32,20,16,12,10,79,66,7,3,12,14
