"Code","Year","Population","Count_All","Deaths_All","Count_Leukaemia","Deaths_Leukaemia","Count_Breast","Deaths_Breast","Count_Prostate","Deaths_Prostate","Count_Melanoma","Deaths_Melanoma","Count_Bladder","Deaths_Bladder","Count_Colorectal","Deaths_Colorectal","Count_Pancreas","Deaths_Pancreas","Count_Stomach","Deaths_Stomach","Count_Lung","Deaths_Lung","Count_Liver","Deaths_Liver","Count_Oesophagus","Deaths_Oesophagus"
"E38000006",2002,106542,574,354,15,10,1,1,113,35,8,1,34,13,79,38,27,21,37,25,98,101,3,5,27,17
"E38000006",2003,107210,573,328,17,8,2,1,105,31,5,2,45,12,66,33,16,14,40,26,110,86,2,4,22,23
"E38000006",2004,107761,589,341,10,6,1,2,116,39,9,2,41,9,84,38,16,17,26,27,108,90,2,0,20,20
"E38000006",2005,108569,570,303,17,7,2,1,118,30,10,2,26,10,78,36,12,11,27,14,109,82,1,1,17,20
"E38000006",2006,109556,630,353,15,13,0,0,143,35,14,0,31,17,85,32,15,9,27,17,116,102,12,7,22,22
"E38000006",2007,110433,655,357,22,8,1,0,108,37,18,2,45,18,89,34,7,12,24,26,119,96,7,6,24,24
"E38000006",2008,111456,655,375,26,7,1,0,130,52,13,6,27,17,103,37,23,16,19,13,135,99,7,6,19,15
"E38000006",2009,112284,675,370,20,8,1,0,139,39,19,6,25,15,79,27,29,27,29,20,113,95,10,6,31,21
"E38000006",2010,112917,645,360,23,10,0,0,101,28,16,5,33,16,90,34,14,13,28,19,107,89,15,9,17,18
"E38000006",2011,113967,679,344,32,11,0,0,130,40,26,3,32,13,83,23,19,13,19,14,130,93,19,13,16,19
"E38000006",2012,115013,669,348,32,13,2,0,141,31,22,3,30,9,97,36,11,13,21,13,114,92,8,12,20,17
"E38000006",2013,116098,688,303,26,8,2,0,159,24,29,1,21,17,67,26,33,21,24,15,115,67,15,11,22,18
"E38000006",2014,117200,671,363,20,9,1,1,152,41,19,6,28,9,79,22,25,32,20,16,125,103,17,14,29,22
"E38000006",2015,118272,701,353,25,16,1,0,136,31,32,3,29,15,98,30,14,17,17,15,119,81,11,14,35,31
"E38000006",2016,119294,660,352,27,10,2,1,129,40,29,5,38,14,90,39,17,14,20,13,121,97,13,8,20,17
"E38000006",2017,120074,733,338,34,8,0,0,140,37,28,3,34,19,96,40,19,12,16,13,122,79,14,8,34,28
"E38000006",2018,121017,772,376,32,9,2,0,190,55,33,5,28,12,84,32,23,17,23,17,120,95,16,13,22,24
"E38000006",2019,121801,810,348,23,14,0,0,214,34,35,9,31,18,105,29,26,27,15,9,119,84,20,11,28,23
"E38000007",2002,113986,538,309,17,12,0,0,141,33,9,6,28,11,57,18,11,16,19,17,86,80,4,5,28,23
"E38000007",2003,114341,597,293,23,8,2,0,154,37,12,4,35,9,65,31,25,19,18,9,90,76,2,5,21,19
"E38000007",2004,114960,591,314,17,15,2,0,154,33,16,4,30,10,77,34,14,12,20,12,85,77,7,6,22,17
"E38000007",2005,115814,528,274,18,3,1,0,134,38,20,5,23,13,70,31,12,8,20,12,78,68,5,3,14,19
"E38000007",2006,116602,472,315,16,9,1,1,112,44,27,4,27,15,57,28,15,20,20,9,61,57,1,2,20,18
"E38000007",2007,117250,562,297,18,8,1,0,152,43,14,6,27,16,66,27,14,16,19,12,73,55,7,5,16,22
"E38000007",2008,118180,574,297,19,10,4,0,114,40,30,5,31,11,78,27,19,19,13,11,84,76,5,2,17,10
"E38000007",2009,119007,604,309,24,14,2,0,152,37,23,4,30,11,88,32,15,15,15,10,70,76,5,8,19,17
"E38000007",2010,119608,641,314,17,11,3,1,150,35,29,4,31,13,85,28,9,9,19,9,81,71,12,11,11,22
"E38000007",2011,120575,560,288,15,6,0,0,160,43,27,7,23,11,77,28,14,16,11,11,74,56,6,8,13,17
"E38000007",2012,121555,706,324,25,10,0,0,171,41,30,5,32,16,89,31,16,10,14,13,93,66,13,6,25,15
"E38000007",2013,122905,694,359,26,12,2,1,172,42,29,6,26,19,72,22,21,17,14,10,83,76,9,11,30,30
"E38000007",2014,124630,694,350,24,12,3,0,184,53,42,5,37,17,84,38,17,20,21,11,72,66,10,15,26,18
"E38000007",2015,125486,725,342,24,8,1,0,178,62,44,5,38,24,82,29,16,20,20,14,90,55,11,3,22,20
"E38000007",2016,126565,776,337,25,11,1,1,206,46,37,3,28,14,89,34,28,16,19,9,90,64,17,5,28,22
"E38000007",2017,126817,751,373,35,12,1,0,166,46,42,5,35,19,92,43,25,21,12,5,95,76,12,11,31,26
